0	288
1	281.5
2	275
3	268.5
4	262
5	255.5
6	249
7	242.5
8	236
9	229.5
10	223
15	216.5
20	216.5
25	221.5
30	226
40	250
50	248
60	247
70	219.5
80	198.5
