# photolysis
#
O2	JO2	O	O	X	X
O3	JO3	O2	O	X	X
O3      JO1D    O2      O1D     X       X
NO2	JNO2	NO	O	X	X
NO3	JNO3	NO2	O	X	X
H2O2	JH2O2	OH	OH	X	X
ClONO2	JClONO2	NO3	Cl	X	X
